sample	genotype	reporter	txn_inh	m6A_inh	transl_inh	time	time_num	target	experiment	replicate	Ct	expression	is_outlier
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	YTHDF2	2024-07-12	rep3	21.9802193577719	0.241790501304124	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	TDH1	2024-07-12	rep1	23.041879953394	0.115854990270186	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	GAPDH	2024-07-12	rep1	22.2739851391524	0.19733853721518	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	Neon2	2024-07-12	rep1	20.301194419371	0.774329862225668	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	mCherry	2024-07-12	rep1	17.7262919101437	4.63725619816958	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	YTHDF2	2024-07-12	rep1	22.4759519716945	0.172138680133846	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	TDH1	2024-07-12	rep2	22.527423009216	0.165455612895284	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	GAPDH	2024-07-12	rep2	21.5265252439569	0.331250785197029	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	Neon2	2024-07-12	rep2	19.9896315925771	0.960774416352388	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	mCherry	2024-07-12	rep2	17.4861734926831	5.44676897252202	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	YTHDF2	2024-07-12	rep2	22.2631217415173	0.198691648436905	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	TDH1	2024-07-12	rep3	22.5218325991482	0.166061758893672	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	GAPDH	2024-07-12	rep3	21.8780943122378	0.259446395412032	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	Neon2	2024-07-12	rep3	20.0538873271012	0.919151604214267	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	mCherry	2024-07-12	rep3	17.607059076008	5.0242258582189	FALSE
C2_1h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	1h	1	YTHDF2	2024-07-12	rep3	22.4230668093975	0.177873927809963	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	TDH1	2024-07-12	rep1	23.0434046202599	0.115677393874818	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	GAPDH	2024-07-12	rep1	21.9271151470681	0.250804572893641	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	Neon2	2024-07-12	rep1	21.3419454409982	0.376288803855048	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	mCherry	2024-07-12	rep1	18.2190168021668	3.27765002333998	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	YTHDF2	2024-07-12	rep1	23.3238013368541	0.101311032467008	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	TDH1	2024-07-12	rep2	22.7995373954079	0.136979457846544	FALSE
C2_2h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	2h	2	GAPDH	2024-07-12	rep2	21.8918644995053	0.257347651264638	FALSE
